PC1,PC2,Cluster
-0.2572739338396417,-2.6616319827096246,1
-3.4908205491309734,1.015699418600022,2
1.4656458209397945,1.286482476080829,0
-1.277325475180422,-1.085186514224297,2
-1.1530922734433144,-1.3474734814433078,1
1.176705855222847,0.366099935995389,0
4.652403554618601,1.6453974494266044,0
1.6421623504239344,-0.0686446245519139,0
1.0187741161853463,0.1455126039120068,0
0.3162610208338497,-1.085508107608427,1
1.690642355434455,0.2399207917104804,0
0.4403479657286697,-0.719282936867227,1
3.041706308137882,0.7514431488677217,0
2.6726771885500176,0.7271868678272252,0
-3.0098838065289213,-0.1144004310758687,2
-0.2161061293552302,2.3915640577760966,0
-3.703306154213603,-0.427097751730275,2
1.1930758225304734,-2.768137151694801,1
1.5671333807486327,1.0400611642559772,0
1.354352715256513,1.3082516395786603,0
0.5590333173944672,0.469571742778805,0
2.221288703685013,4.326846844699812,0
2.191919913061728,-1.38090015458439,1
0.6411356263659276,3.753362986732428,0
-3.773747282980536,1.1698185942618928,2
1.8439659336839,-1.1011011792557892,1
-1.98153608262088,1.022474859234599,2
1.6736729429427553,-1.5406701326313597,1
-1.1817623167655271,3.890641756731304,0
0.6370144500197108,-1.761453450297822,1
0.9682821493533792,4.699543197659515,0
1.828286552919476,1.551147192787614,0
-1.8067542829963792,2.2493238438422174,2
1.6913705632477265,-0.5978396499466133,1
1.5468902339145798,1.864227068787085,0
-2.893897939734894,-0.7726272607276099,2
-4.6144564217565485,2.270260263115517,2
1.0540750724846486,3.52485212446994,0
-2.5908387133297843,2.5921226967072086,2
-1.4932758685241232,1.743107531275338,2
-3.298686517305078,-0.5154363019479018,2
0.5926396863469479,2.084554832055818,0
-0.8692161034676928,0.3541195005569622,2
-3.055492336416019,-0.8768695237023867,2
2.665567484217981,1.8531213106802864,0
-0.3826354577308729,-0.5035198347403655,1
-1.042492701282646,-1.6244255811595814,1
-4.202586694235702,-0.5584343612406231,2
4.277815973859213,0.507964629640703,0
-1.0147306654834949,0.4898624741209854,2
-1.349408243157998,4.395344453890292,0
2.445749849518433,1.287542295443214,0
-3.3473345093248765,0.0479606586129983,2
0.4653890255318381,0.8143012983010633,0
1.3071648316492672,-2.3971742485315946,1
0.1619351006247948,-1.1255588183666143,1
-1.891925370104182,0.3299704626335056,2
3.2148794310188022,2.442105605700134,0
-3.39229740310558,0.4474238920908511,2
-1.1580820201743711,2.1513992601449603,2
-0.4958952281642925,-0.0230639272308152,1
-1.0456347405890871,-0.7223680934101806,2
